humidity_inside,temperature_inside,co2_inside,temperature_heater,temperature_wall_inside,state_air_quality
58.94,21.955,1653,41.187,14.062,1
58.97,21.94,1665,40.937,14.062,1
57.89,22.353,1707,40.375,14.25,1
58.96,22.504,1981,40.875,14.375,1
57.74,22.515,1868,40.812,14.375,1
59.48,22.71,2076,41.062,14.562,2
59.64,22.788,2156,41.187,14.625,2
60.53,22.972,2293,40.375,14.75,2
55.58,22.005,808,42.125,14.687,0
55.47,22.078,814,41.0,14.687,0
57.09,22.534,1189,40.312,14.812,1
55.14,22.532,1090,39.0,14.937,1
54.67,22.476,1038,38.187,14.875,1
55.73,22.695,1245,38.562,14.937,1
54.49,22.458,1109,37.687,14.875,1
57.63,22.858,1413,40.312,15.062,1
58.33,23.199,1767,39.687,15.125,1
58.55,23.199,1909,40.937,15.187,1
60.99,20.332,1094,27.687,13.312,1
61.01,20.229,1032,26.812,13.187,1
62.41,20.039,1132,23.0,12.937,1
55.95,22.055,804,40.812,14.062,0
57.44,22.294,1132,40.562,14.187,1
56.64,22.537,1138,39.937,14.312,1
56.4,22.764,1236,40.812,14.437,1
56.14,22.971,1353,42.687,14.5,1
55.95,23.286,1538,43.375,14.625,1
55.91,23.397,1641,43.437,14.687,1
56.79,20.253,712,24.562,12.25,1
56.67,20.314,690,27.812,12.562,1
58.26,20.304,918,26.812,12.25,1
51.03,22.022,796,42.0,13.375,0
51.77,22.417,1015,41.187,13.5,1
52.76,22.853,1268,42.125,13.687,1
53.46,23.094,1518,42.875,13.687,1
54.4,23.196,1630,42.25,13.812,1
54.8,23.444,1885,45.375,13.875,1
55.04,23.472,2048,43.812,13.937,2
68.52,20.763,912,29.125,12.625,1
67.86,20.834,985,30.25,12.625,1
64.92,22.28,1502,46.312,13.25,1
54.88,22.507,995,44.937,13.25,0
55.34,22.986,1337,45.937,13.437,1
55.14,23.173,1493,45.5,13.5,1
56.32,23.31,1581,45.0,13.562,1
57.03,23.587,1628,47.937,13.625,1
56.19,23.524,1547,45.562,13.625,1
57.32,23.479,1587,44.125,13.625,1
62.74,20.339,1436,28.937,12.187,1
49.78,20.074,531,43.437,12.312,1
50.87,21.835,740,44.812,12.937,1
52.42,22.666,703,38.0,13.25,0
51.99,23.096,797,40.25,13.5,1
53.02,22.984,870,40.375,13.562,0
53.25,23.107,985,41.312,13.75,1
55.26,23.125,1212,42.937,13.875,1
56.24,23.341,1602,41.75,14.125,1
54.22,23.339,1356,44.062,14.187,1
58.93,20.037,925,22.562,12.187,1
58.69,20.002,905,22.875,12.125,1
47.78,20.15,490,44.312,12.75,1
47.37,22.282,592,40.812,13.437,0
48.72,22.261,564,40.687,13.437,0
49.43,22.161,553,40.812,13.437,0
49.59,22.226,535,42.062,13.562,0
49.92,22.325,532,42.437,13.687,0
50.47,22.359,538,41.625,13.687,0
51.28,22.299,536,42.625,13.75,0
62.19,19.652,776,20.187,12.312,1
62.08,19.573,757,19.875,12.312,1
57.91,18.819,514,24.5,12.5,1
55.4,21.836,754,40.687,13.75,0
55.34,21.959,749,40.125,13.937,0
55.36,22.056,732,40.625,14.0,0
55.3,22.166,725,40.875,14.125,0
55.29,22.273,713,40.062,14.25,0
56.6,22.565,836,40.375,14.437,0
56.74,22.827,1026,41.937,14.625,1
60.44,19.821,818,22.812,13.312,1
60.28,19.727,798,21.5,13.312,1
50.81,18.073,405,16.812,13.125,1
53.09,22.199,762,41.812,14.625,0
54.46,22.306,942,40.0,14.75,0
54.52,22.426,992,40.25,14.75,0
56.64,22.818,1298,39.75,14.937,1
56.39,22.624,1461,40.125,14.875,1
57.33,22.92,1729,41.75,15.062,1
57.71,23.136,2020,41.562,15.125,2
59.8,20.744,1489,25.5,13.812,1
59.77,20.634,1473,25.5,13.687,1
49.62,18.951,445,20.187,13.562,1
52.48,22.86,1029,37.937,14.875,1
50.7,23.794,1056,37.687,15.25,1
51.97,23.145,1084,37.625,15.125,1
54.7,22.337,1144,33.437,15.0,1
54.87,22.338,1252,37.375,15.125,1
56.92,22.471,1548,37.687,15.312,1
57.99,22.471,1791,37.562,15.375,1
59.1,19.988,1158,26.312,12.875,1
59.87,19.937,1257,26.125,12.687,1
53.42,18.117,776,33.937,12.5,1
46.94,22.028,821,43.687,13.75,0
48.08,22.404,1016,44.437,13.875,1
49.7,22.79,1140,43.875,13.937,1
50.36,23.146,1288,44.75,14.062,1
47.55,23.062,1338,42.187,13.75,1
49.19,23.205,1188,45.0,14.0,1
50.69,23.376,1439,45.25,14.0,1
70.71,20.334,710,29.0,12.312,1
70.9,20.302,668,28.312,12.187,1
67.73,21.642,1053,44.687,12.812,1
54.27,22.513,1076,43.25,12.875,1
53.89,22.888,1245,41.875,13.062,1
54.15,22.516,1202,41.812,12.937,1
54.5,22.788,1366,42.125,13.062,1
55.23,22.883,1533,42.312,13.187,1
55.69,22.988,1707,42.25,13.25,1
55.34,23.144,1787,42.687,13.312,1
62.25,19.238,1025,18.562,11.187,1
62.75,19.171,1090,17.875,11.125,1
48.84,17.89,420,16.687,11.062,1
52.47,21.696,915,40.75,12.375,1
52.09,21.785,990,41.437,12.5,1
51.77,22.295,1120,42.562,12.625,1
53.35,22.609,1539,43.562,12.75,1
53.52,23.001,1860,42.312,12.812,1
54.4,23.291,1868,43.437,12.875,1
55.94,23.345,2167,44.687,13.0,2
60.09,19.996,1184,24.5,11.875,1
60.0,19.957,1139,24.5,11.937,1
61.06,18.773,395,19.187,12.0,1
61.08,21.595,1078,36.437,13.562,1
60.15,21.786,1150,37.187,13.75,1
60.66,22.074,1439,37.875,13.937,1
60.51,22.262,1650,37.375,14.187,1
60.54,22.339,1749,38.25,14.312,1
60.71,22.508,1918,38.875,14.437,1
61.42,22.643,2006,39.0,14.625,2
61.63,20.271,1164,26.625,13.75,1
53.53,19.717,560,25.062,13.562,1
53.6,19.721,484,36.875,13.687,1
55.14,23.284,1386,38.687,15.0,1
56.07,23.552,1570,37.25,15.062,1
56.72,22.95,1535,38.562,15.062,1
58.69,22.969,1646,39.125,15.312,1
59.38,23.082,1947,39.625,15.437,1
59.61,23.254,2200,40.687,15.625,2
60.15,23.464,2379,40.812,15.75,2
57.19,22.327,1286,36.187,15.125,1
57.34,22.235,1337,29.25,14.875,1
57.97,19.451,1355,24.437,10.687,1
42.47,22.07,712,45.125,10.812,1
46.91,22.246,1119,45.625,11.0,1
47.14,23.025,1533,43.625,11.125,1
48.81,22.622,1740,43.875,11.0,1
48.33,22.925,1701,43.375,11.187,1
49.91,22.939,2031,46.562,11.25,2
51.41,22.706,2144,41.875,11.25,2
52.77,19.268,1316,24.625,9.312,1
39.87,17.269,438,22.125,9.312,1
42.26,19.16,564,43.625,10.125,1
44.54,22.449,1063,47.312,11.25,1
44.9,22.874,1217,46.125,11.437,1
45.59,22.961,1335,48.812,11.5,1
46.55,23.289,1537,46.687,11.625,1
46.83,23.629,1810,49.937,11.812,1
47.34,23.602,1929,46.0,11.812,1
47.96,23.712,2048,48.75,11.937,2
50.94,19.435,868,26.875,10.0,1
50.32,19.366,820,27.75,9.937,1
51.77,19.33,1099,27.0,9.875,1
44.87,21.813,717,44.562,11.375,1
43.18,22.095,776,48.0,11.5,1
45.9,22.37,1125,44.187,11.562,1
46.48,23.002,1403,47.75,11.812,1
47.19,23.041,1657,48.187,11.812,1
48.26,22.953,1903,43.312,11.812,1
53.71,23.283,2115,46.062,12.0,2
63.4,19.965,1194,30.187,10.687,1
42.24,18.652,433,38.187,9.937,1
46.1,19.493,566,41.5,10.625,1
48.52,22.513,1229,45.125,12.0,1
50.3,22.088,1339,42.5,11.937,1
49.42,22.933,1632,47.125,12.312,1
52.11,22.869,1886,44.937,12.437,1
52.64,23.292,2165,48.5,12.625,2
53.52,22.885,2174,43.75,12.562,2
54.43,23.3,2364,46.25,12.75,2
53.84,20.267,1228,30.75,11.562,1
51.27,17.992,888,21.062,10.75,1
45.03,20.511,668,43.625,11.812,1
46.62,22.619,1261,46.937,12.375,1
47.02,22.777,1377,44.375,12.312,1
48.49,22.619,1340,42.812,12.437,1
51.61,23.148,1754,46.187,12.562,1
52.23,23.123,2059,43.0,12.562,2
50.89,23.292,2086,41.937,12.562,2
51.84,23.28,2225,44.75,12.625,2
52.93,19.108,1014,23.875,9.937,1
51.89,20.942,1290,45.375,11.187,1
43.29,20.832,635,47.75,11.125,1
45.6,22.492,1028,47.937,11.75,1
46.62,22.991,1374,44.437,11.875,1
46.88,23.168,1625,45.687,12.062,1
47.93,23.264,1970,47.812,12.125,1
55.38,23.188,1956,44.75,12.125,1
58.26,23.176,2046,43.437,12.187,2
60.92,23.332,2207,47.25,12.312,2
66.88,20.237,1092,32.562,11.0,1
46.67,17.774,514,22.062,10.062,1
53.02,19.298,814,42.937,10.625,1
49.04,21.807,987,41.312,11.562,1
50.36,22.273,1192,45.812,11.875,1
50.34,22.099,1273,41.0,11.875,1
50.57,22.837,1620,46.437,12.187,1
52.13,22.692,1887,40.937,12.187,1
54.82,22.885,2240,43.312,12.375,2
56.4,22.849,2442,44.5,12.437,2
55.63,19.86,1553,31.75,11.25,1
55.65,19.939,1474,31.75,11.25,1
56.42,18.497,1168,25.312,11.0,1
52.82,22.212,1292,46.187,12.187,1
53.52,22.66,1465,45.062,12.437,1
52.81,22.769,1553,44.687,12.5,1
53.39,22.672,1701,44.25,12.5,1
54.47,22.934,2089,41.562,12.687,2
53.14,23.212,2107,44.687,12.812,2
55.42,23.023,2435,42.312,12.812,2
57.83,19.328,1552,21.375,11.187,1
61.91,19.317,1905,21.5,11.187,1
55.16,20.081,949,43.187,11.937,1
52.88,21.791,1040,41.562,12.75,1
53.99,22.512,1575,41.5,13.125,1
53.38,22.981,1819,40.937,13.312,1
53.76,22.981,2091,41.062,13.375,2
55.76,22.928,2307,40.562,13.5,2
56.29,22.74,2327,39.125,13.5,2
57.02,22.717,2512,39.687,13.5,2
52.12,21.419,717,41.687,13.125,0
51.82,21.818,728,42.687,13.312,0
56.17,22.252,1281,42.687,13.562,1
52.84,22.115,700,42.0,13.687,0
52.67,22.225,750,41.812,13.75,0
54.58,22.599,1097,41.312,13.937,1
55.33,22.948,1424,41.25,14.062,1
54.94,23.106,1552,41.125,14.125,1
54.25,23.144,1763,40.25,14.187,1
63.37,23.214,2056,40.75,14.375,2
75.25,20.538,1496,30.375,13.437,1
56.74,19.334,580,26.312,12.75,1
64.15,20.543,845,40.937,13.375,1
60.53,21.79,769,41.375,13.937,0
55.92,21.808,794,40.562,14.0,0
59.39,22.556,1278,42.812,14.312,1
62.81,22.708,1427,41.812,14.437,1
65.56,23.014,1772,41.187,14.625,1
64.43,23.086,1714,40.75,14.562,1
66.5,23.352,2052,42.0,14.75,2
72.25,19.851,996,24.062,12.625,1
71.47,19.74,1049,23.062,12.5,1
62.36,19.062,702,35.062,12.562,1
58.79,21.778,821,42.125,13.625,0
55.35,21.921,798,40.187,13.562,0
58.88,22.585,1357,41.562,13.875,1
60.17,22.713,1618,41.312,13.937,1
60.12,22.677,1638,41.375,13.937,1
59.6,22.881,1551,41.312,14.062,1
60.78,22.703,1590,41.25,14.062,1
73.47,19.826,928,21.75,12.75,1
52.92,20.712,456,38.687,13.0,1
61.45,21.027,791,41.25,13.562,0
60.14,21.776,678,41.562,14.0,0
58.76,21.976,630,41.375,14.062,0
58.68,22.424,755,40.25,14.187,0
57.68,21.942,888,37.187,14.062,0
58.81,22.26,1133,39.0,14.125,1
57.12,25.03,3430,31.875,14.5,2
61.42,23.556,3412,34.562,14.312,2
64.95,20.188,1414,24.5,12.75,1
63.06,20.261,1333,24.812,12.812,1
58.02,21.276,796,43.437,13.5,0
57.32,23.504,1661,42.437,14.187,1
58.22,23.766,2293,42.937,14.312,2
57.85,24.129,2438,42.687,14.437,2
61.44,24.451,3319,42.875,14.625,2
60.83,23.605,3191,30.687,13.75,2
52.92,27.613,5266,26.5,14.625,2
59.95,24.385,5111,30.125,13.75,2
64.62,20.011,2301,24.187,11.875,2
61.34,21.161,1982,45.25,12.687,1
55.81,20.38,810,27.562,12.0,1
60.04,23.143,2142,44.187,13.25,2
53.89,23.178,1616,43.625,13.187,1
58.58,23.963,2597,45.125,13.562,2
44.26,22.513,754,44.125,13.0,1
51.85,23.988,1520,45.812,13.625,1
52.88,24.108,1886,43.937,13.625,1
56.45,23.987,2324,44.5,13.687,2
61.44,19.611,1304,21.312,11.375,1
61.84,19.625,1443,21.687,11.312,1
51.69,18.539,663,16.687,11.125,1
50.11,21.962,1019,44.437,12.812,1
51.73,22.513,1249,45.812,13.062,1
52.32,22.719,1459,45.562,13.125,1
57.58,22.944,1746,45.312,13.312,1
59.81,23.149,2027,45.375,13.437,2
61.57,23.215,2172,44.437,13.5,2
63.28,23.322,2446,44.812,13.562,2
62.25,19.351,1166,25.062,11.187,1
46.14,17.875,472,23.0,11.062,1
55.55,17.993,875,42.437,11.062,1
52.62,22.209,1368,45.375,12.437,1
52.42,22.374,1353,45.75,12.437,1
53.11,22.618,1515,46.375,12.5,1
53.44,22.643,1611,45.375,12.562,1
54.02,22.812,1797,44.875,12.625,1
53.74,23.353,1950,48.187,12.812,1
55.25,23.131,2075,44.0,12.625,2
58.54,18.851,1144,25.312,9.875,1
61.55,18.92,1393,23.687,9.812,1
48.63,19.773,720,47.5,10.625,1
48.52,22.423,1323,44.75,11.625,1
50.39,22.339,1605,45.437,11.625,1
50.02,23.058,1734,47.937,11.937,1
50.41,23.12,1810,46.937,12.0,1
50.37,23.105,1851,47.375,12.062,1
52.05,23.504,2221,47.5,12.312,2
53.17,23.507,2403,46.75,12.25,2
55.88,20.005,1195,32.312,10.937,1
56.28,20.06,1260,33.125,10.937,1
57.97,20.257,1672,31.125,11.0,1
54.43,22.354,1516,43.687,11.875,1
54.68,22.415,1554,42.312,11.937,1
54.79,22.412,1522,41.625,12.0,1
54.57,22.523,1538,41.75,12.25,1
55.53,22.651,1738,40.062,12.437,1
53.99,22.661,1642,40.375,12.562,1
54.81,22.452,1699,40.187,12.687,1
59.1,19.992,1250,30.875,13.25,1
58.74,20.908,1445,39.5,13.625,1
57.54,21.13,1035,38.062,13.687,1
59.14,21.927,1297,38.375,14.312,1
59.64,22.116,1460,37.25,14.437,1
58.61,22.348,1576,37.562,14.625,1
58.23,22.42,1698,36.562,14.75,1
58.68,22.614,1876,38.625,14.937,1
58.59,22.593,1953,39.25,15.062,1
59.36,22.81,2218,38.937,15.187,2
57.21,20.114,794,29.312,14.0,1
56.93,21.061,1017,43.562,14.375,1
38.36,21.388,422,41.125,14.125,1
54.17,22.747,1542,42.937,14.5,1
54.29,22.973,1680,43.75,14.5,1
54.54,23.304,1924,42.812,14.625,1
53.68,23.31,1925,42.5,14.625,1
47.36,26.746,2713,43.687,14.812,2
50.4,24.1,2507,37.562,14.625,2
55.28,23.627,2861,40.937,14.75,2
58.95,19.466,1456,21.812,12.25,1
60.17,19.509,1520,21.5,12.187,1
48.32,18.857,514,41.812,12.25,1
50.51,22.069,1031,43.5,13.375,1
51.25,22.759,1381,43.812,13.5,1
54.17,23.358,2030,44.5,13.687,2
51.49,23.199,1827,43.625,13.562,1
52.12,23.347,1939,44.5,13.625,1
49.24,23.166,1638,44.125,13.562,1
53.49,23.343,2019,43.812,13.625,2
72.74,20.009,1022,30.25,12.437,1
52.71,18.483,432,24.187,11.625,1
58.07,20.573,514,43.187,12.625,1
54.93,22.13,942,46.187,13.25,0
53.52,22.443,1013,44.812,13.375,1
54.51,22.705,1296,43.375,13.437,1
53.67,22.634,1315,44.25,13.375,1
53.53,22.788,1371,43.187,13.437,1
54.41,22.919,1526,42.5,13.437,1
54.06,22.872,1586,42.125,13.375,1
59.23,19.998,739,32.437,12.187,1
49.83,17.65,426,20.875,11.5,1
53.88,20.163,695,42.312,12.312,1
45.82,20.86,468,41.25,12.562,1
50.26,22.042,880,43.312,13.062,0
51.2,22.304,1065,42.75,13.187,1
52.17,22.92,1530,44.75,13.5,1
53.24,23.137,1839,43.375,13.625,1
54.17,23.126,2084,43.062,13.625,2
54.44,23.052,2176,41.25,13.687,2
55.55,19.89,801,29.937,12.75,1
48.79,19.453,550,29.375,12.437,1
52.34,19.841,674,35.0,12.812,1
53.72,21.449,975,41.375,13.375,0
54.86,21.905,1320,41.437,13.562,1
54.77,22.377,1646,41.625,13.75,1
54.36,22.669,1813,42.687,13.937,1
54.82,22.888,2057,43.062,14.062,2
54.63,22.957,2242,43.125,14.062,2
55.77,23.159,2505,42.625,14.25,2
58.28,19.765,1611,30.625,12.562,1
58.14,20.518,1688,44.187,12.875,1
49.99,20.525,806,44.75,12.875,1
54.32,22.304,1723,42.25,13.437,1
55.53,22.315,2018,40.187,13.5,2
54.59,22.489,2088,42.875,13.562,2
54.84,22.962,2389,44.125,13.812,2
53.62,23.561,2511,41.875,13.937,2
47.83,27.517,5544,36.875,14.125,2
56.19,23.747,4891,41.312,13.937,2
57.11,19.865,1335,30.625,12.187,1
54.12,21.314,1299,49.375,12.75,1
43.9,20.128,625,31.25,12.125,1
46.12,22.885,1271,43.437,12.812,1
42.48,22.542,956,48.5,12.625,1
42.78,22.346,938,44.437,12.687,1
43.63,23.089,1174,48.25,13.0,1
44.26,23.239,1342,49.062,13.0,1
43.63,23.001,1349,47.5,12.875,1
59.56,23.302,1707,45.187,13.0,1
58.07,20.702,859,40.75,11.125,1
42.06,19.31,566,30.187,10.375,1
46.46,19.47,803,47.5,10.562,1
41.84,22.342,745,41.437,11.437,1
45.15,22.321,1113,40.75,11.437,1
46.08,22.457,1375,39.375,11.5,1
46.75,22.775,1566,47.312,11.75,1
48.04,22.392,1670,39.875,11.625,1
48.95,22.72,1912,40.937,11.812,1
50.38,22.811,2115,45.437,11.937,2
53.48,19.401,1098,29.437,10.375,1
51.52,20.864,1197,44.562,11.0,1
53.3,21.948,1472,47.437,11.375,1
53.01,22.437,1350,43.5,11.75,1
52.78,22.449,1452,43.187,11.875,1
53.13,22.588,1732,42.437,11.937,1
52.96,22.959,1919,43.562,12.125,1
53.89,22.806,2163,41.062,12.125,2
53.64,22.901,2306,43.875,12.25,2
55.51,22.795,2501,39.937,12.312,2
57.64,19.186,1428,23.625,10.75,1
48.67,18.104,485,32.562,10.75,1
52.36,20.196,964,44.25,11.812,1
54.27,22.031,1197,37.312,12.625,1
53.44,21.769,1140,39.875,12.625,1
54.24,22.119,1451,40.812,12.937,1
53.54,22.34,1571,41.437,13.125,1
54.4,22.651,1841,41.937,13.375,1
53.21,22.091,1021,41.125,13.562,1
54.23,22.428,1219,42.312,13.75,1
54.5,22.656,1518,41.125,13.875,1
52.33,22.565,1318,42.0,13.562,1
53.45,22.719,1517,42.375,13.625,1
54.22,22.749,1776,41.687,13.687,1
54.59,22.705,1820,41.312,13.625,1
53.82,23.017,1925,40.875,13.75,1
55.54,22.774,2229,40.187,13.75,2
56.73,23.064,2486,43.625,13.875,2
